@RELATION 'test_samemaps_tutorial1'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-1,99999,East
99999,5,5,7,-1,-2,99999,South
6,4,4,99999,-2,-3,99999,South
5,99999,3,5,-3,-4,99999,East
4,2,4,4,-4,-5,99999,South
3,1,3,99999,-5,-6,99999,South
2,2,2,0,-6,193,99999,West
99999,13,15,13,193,192,99999,South
14,12,14,12,192,191,99999,South
13,11,13,11,191,190,99999,South
12,99999,12,10,190,189,99999,West
11,99999,11,9,189,188,99999,West
10,99999,10,8,188,187,99999,West
9,99999,9,7,187,186,99999,West
99999,99999,8,6,186,185,99999,West
5,99999,7,5,185,184,99999,North
4,6,99999,4,184,183,99999,North
3,5,99999,3,183,182,99999,North
99999,4,99999,2,182,181,99999,West
99999,3,3,1,181,180,99999,West
99999,2,2,0,180,379,99999,West
99999,21,21,19,379,378,99999,West
18,20,20,18,378,377,99999,North
17,19,99999,17,377,376,99999,North
16,18,18,16,376,375,99999,North
15,17,17,15,375,374,99999,North
99999,16,16,14,374,373,99999,West
13,15,15,15,373,372,99999,North
12,14,99999,14,372,371,99999,North
11,13,99999,13,371,370,99999,North
10,12,99999,12,370,369,99999,North
99999,11,9,11,369,368,99999,East
99999,99999,8,10,368,367,99999,East
99999,99999,7,9,367,366,99999,East
99999,99999,6,8,366,365,99999,East
99999,99999,5,7,365,364,99999,East
99999,4,6,6,364,363,99999,South
5,3,5,99999,363,362,99999,South
4,99999,4,2,362,361,99999,West
99999,99999,3,1,361,360,99999,West
99999,99999,2,0,360,559,99999,West
99999,99999,7,99999,559,558,99999,East
99999,99999,6,8,558,557,99999,East
99999,99999,5,7,557,556,99999,East
6,99999,4,6,556,555,99999,East
5,99999,3,5,555,554,99999,East
4,99999,2,4,554,553,99999,East
99999,99999,1,3,553,552,99999,East
99999,99999,6,8,0,-1,99999,East
99999,6,6,8,-1,-2,99999,South
8,6,6,99999,-2,-3,99999,South
6,99999,4,6,-3,-4,99999,East
4,2,4,4,-4,-5,99999,South
3,1,3,99999,-5,-6,99999,South
3,1,3,3,-6,-7,99999,South
3,1,3,1,-7,192,99999,South
15,13,15,13,192,191,99999,South
13,99999,13,11,191,190,99999,West
11,99999,11,9,190,189,99999,West
9,99999,9,7,189,188,99999,West
7,99999,7,5,188,187,99999,West
