@RELATION 'test_samemaps_tutorial1_score3'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
99999,99999,6,8,0,-3,99999,East
99999,5,5,7,-1,-4,99999,South
6,4,4,99999,-2,-5,99999,South
5,99999,3,5,-3,-6,99999,East
4,2,4,4,-4,193,99999,South
3,1,3,99999,-5,192,99999,South
2,2,2,0,-6,191,99999,West
99999,13,15,13,193,190,99999,South
14,12,14,12,192,189,99999,South
13,11,13,11,191,188,99999,South
12,99999,12,10,190,187,99999,West
11,99999,11,9,189,186,99999,West
10,99999,10,8,188,185,99999,West
9,99999,9,7,187,184,99999,West
99999,99999,8,6,186,183,99999,West
5,99999,7,5,185,182,99999,North
4,6,99999,4,184,181,99999,North
3,5,99999,3,183,180,99999,North
99999,4,99999,2,182,379,99999,West
99999,3,3,1,181,378,99999,West
99999,2,2,0,180,377,99999,West
99999,21,21,19,379,376,99999,West
18,20,20,18,378,375,99999,North
17,19,99999,17,377,374,99999,North
16,18,18,16,376,373,99999,North
15,17,17,15,375,372,99999,North
99999,16,16,14,374,371,99999,West
13,15,15,15,373,370,99999,North
12,14,99999,14,372,369,99999,North
11,13,99999,13,371,368,99999,North
10,12,99999,12,370,367,99999,North
99999,11,9,11,369,366,99999,East
99999,99999,8,10,368,365,99999,East
99999,99999,7,9,367,364,99999,East
99999,99999,6,8,366,363,99999,East
99999,99999,5,7,365,362,99999,East
99999,4,6,6,364,361,99999,South
5,3,5,99999,363,360,99999,South
4,99999,4,2,362,559,99999,West
99999,99999,3,1,361,558,99999,West
99999,99999,2,0,360,557,99999,West
99999,99999,7,99999,559,556,99999,East
99999,99999,6,8,558,555,99999,East
99999,99999,5,7,557,554,99999,East
6,99999,4,6,556,553,99999,East
5,99999,3,5,555,552,99999,East
99999,99999,6,8,0,-3,99999,East
99999,4,4,6,-1,-4,99999,South
4,2,2,99999,-2,-5,99999,South
4,99999,2,4,-3,-6,99999,East
3,1,3,3,-4,-7,99999,South
3,1,3,99999,-5,-8,99999,South
3,1,3,1,-6,-9,99999,South
3,1,3,1,-7,190,99999,South
3,1,3,1,-8,189,99999,South
2,99999,2,0,-9,188,99999,West
11,99999,11,9,190,187,99999,West
11,99999,11,9,189,186,99999,West
11,99999,11,9,188,185,99999,West
11,99999,11,9,187,184,99999,West
99999,99999,11,9,186,183,99999,West
9,99999,11,9,185,182,99999,North
7,9,99999,7,184,181,99999,North
6,8,99999,6,183,180,99999,North
99999,8,99999,6,182,179,99999,West
99999,8,8,6,181,178,99999,West
99999,6,6,4,180,177,99999,West
99999,6,6,4,179,176,99999,West
2,4,4,4,178,175,99999,North
2,4,99999,4,177,374,99999,North
2,4,2,4,176,373,99999,North
2,2,0,2,175,372,99999,East
13,15,99999,13,374,371,99999,North
99999,15,15,13,373,370,99999,West
99999,15,15,13,372,369,99999,West
13,15,15,15,371,368,99999,North
12,14,99999,14,370,367,99999,North
10,12,99999,12,369,366,99999,North
8,10,99999,10,368,365,99999,North
99999,10,8,10,367,364,99999,East
99999,99999,6,8,366,363,99999,East
99999,99999,6,8,365,362,99999,East
99999,99999,4,6,364,361,99999,East
99999,99999,3,5,363,560,99999,East
99999,1,3,3,362,559,99999,South
2,0,2,99999,361,558,99999,South
2,4,2,4,0,197,7,North
1,3,1,3,-1,196,8,North
2,2,0,2,-2,195,9,East
7,5,7,7,197,194,8,South
6,4,6,6,196,193,7,South
5,3,5,5,195,192,6,South
4,2,4,4,194,391,5,South
3,1,3,3,193,390,6,South
2,0,2,2,192,389,7,South
9,9,9,7,391,388,8,West
8,8,8,6,390,387,9,West
